"restaurant_url","name","res_id","location","cuisines","average_cost_for_two","menu_image"
"https://www.zomato.com/ncr/ardor-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Ardor",7713,"{""country_id"":1,""zipcode"":""0"",""longitude"":""77.2199965641"",""latitude"":""28.6302851604"",""city_id"":1,""city"":""New Delhi"",""locality"":""Connaught Place"",""address"":""N-55/56 & 88/89, Outer Circle, Connaught Place, New Delhi""}","North Indian, Chinese, Continental, Italian","2500","https://www.zomato.com/ncr/ardor-connaught-place-new-delhi/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/ncr/bercos-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Berco's",55,"{""country_id"":1,""zipcode"":""0"",""longitude"":""77.2173502296"",""latitude"":""28.6323639468"",""city_id"":1,""city"":""New Delhi"",""locality"":""Connaught Place"",""address"":""G-2/43, Middle Circle, Connaught Place, New Delhi""}","Chinese, Thai","1100","https://www.zomato.com/ncr/bercos-connaught-place-new-delhi/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","The Hudson Cafe",312345,"{""country_id"":1,""zipcode"":"""",""longitude"":""77.2042526677"",""latitude"":""28.6950448360"",""city_id"":1,""city"":""New Delhi"",""locality"":""Delhi University-GTB Nagar"",""address"":""2524, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi""}","Cafe, Chinese, Italian, Fast Food","800","https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/ncr/gulati-pandara-road-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Gulati",799,"{""country_id"":1,""zipcode"":""0"",""longitude"":""77.2299760580"",""latitude"":""28.6079903541"",""city_id"":1,""city"":""New Delhi"",""locality"":""Pandara Road Market"",""address"":""6, Pandara Road Market, New Delhi""}","North Indian, Mughlai","1500","https://www.zomato.com/ncr/gulati-pandara-road-new-delhi/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/burbees?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Burbee's Cafe",310399,"{""country_id"":1,""zipcode"":""201301"",""longitude"":""77.3243824393"",""latitude"":""28.5692457320"",""city_id"":1,""city"":""Noida"",""locality"":""Sector 18"",""address"":""G-56, 2nd Floor, Sector 18, Noida""}","American, Italian, Cafe, Chinese, North Indian","850","https://www.zomato.com/burbees/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/desivibes?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Desi Vibes",490,"{""country_id"":1,""zipcode"":"""",""longitude"":""77.3242563754"",""latitude"":""28.5694915999"",""city_id"":1,""city"":""Noida"",""locality"":""Sector 18"",""address"":""G-50, 1st Floor, Sector 18, Noida""}","North Indian, Mughlai","1400","https://www.zomato.com/desivibes/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/ncr/the-flying-saucer-cafe-nehru-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","The Flying Saucer Cafe",304299,"{""country_id"":1,""zipcode"":"""",""longitude"":""77.2521991655"",""latitude"":""28.5512065944"",""city_id"":1,""city"":""New Delhi"",""locality"":""Nehru Place"",""address"":""Ground Floor, Epicuria Food Mall, Nehru Place Metro Station New Delhi, Nehru Place, New Delhi""}","Italian, Mediterranean, Continental","2400","https://www.zomato.com/ncr/the-flying-saucer-cafe-nehru-place-new-delhi/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/ncr/kebab-gali-malviya-nagar-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Kebab Gali",18161584,"{""country_id"":1,""zipcode"":"""",""longitude"":""77.2133775428"",""latitude"":""28.5387215649"",""city_id"":1,""city"":""New Delhi"",""locality"":""Malviya Nagar"",""address"":""7-8, Corner Market, Malviya Nagar, New Delhi""}","North Indian, Mughlai, Biryani","600","https://www.zomato.com/ncr/kebab-gali-malviya-nagar-new-delhi/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/ncr/the-junkyard-cafe-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","The Junkyard Cafe",313256,"{""country_id"":1,""zipcode"":"""",""longitude"":""77.2207070142"",""latitude"":""28.6300876970"",""city_id"":1,""city"":""New Delhi"",""locality"":""Connaught Place"",""address"":""91, 2nd Floor, N Block, Connaught Place, New Delhi""}","North Indian, Mediterranean, Asian","1400","https://www.zomato.com/ncr/the-junkyard-cafe-connaught-place-new-delhi/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
"https://www.zomato.com/ncr/the-chatter-house-nehru-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","The Chatter House",305240,"{""country_id"":1,""zipcode"":"""",""longitude"":""77.2519416735"",""latitude"":""28.5514050894"",""city_id"":1,""city"":""New Delhi"",""locality"":""Nehru Place"",""address"":""Lower Basement, Epicuria Food Mall, Nehru Place Metro Station, Nehru Place, New Delhi""}","Finger Food, Italian, North Indian","1800","https://www.zomato.com/ncr/the-chatter-house-nehru-place-new-delhi/menu#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"
